EmployeeNumber,Age,AgeBand,Attrition,AttritionFlag,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyPayrollCost,MonthlyRate,HourlyRate,DailyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,EnvironmentSatisfaction,JobSatisfaction,JobInvolvement,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HireDate,LastReviewDate,ManagerID,WorkLocation,RemoteWork,ExitReason
24,34,26-35,No,0,Travel_Frequently,Research & Development,11,4,Medical,1,Male,1,Manager,Single,12257,17034,16427,42,1177,7,No,12,3,4,4,2,4,80,0,0,2,1,0,0,0,0,2024-12-25,2024-10-19,1053,Malmo,Full Remote,Not applicable
25,38,36-45,No,0,Travel_Rarely,Sales,11,3,Life Sciences,1,Male,3,Sales Executive,Married,9190,11670,6770,61,1187,0,No,16,4,1,4,1,1,80,0,16,0,4,4,1,3,3,2020-01-19,2024-09-30,1022,Oslo,No,Not applicable
26,29,26-35,No,0,Travel_Rarely,Research & Development,9,3,Life Sciences,1,Male,1,Research Director,Married,13737,17185,24913,67,144,1,No,14,4,3,4,3,4,80,0,7,2,3,1,0,1,1,2023-01-30,2024-06-12,1036,Stockholm,Hybrid,Not applicable
27,42,36-45,No,0,Travel_Rarely,Research & Development,26,2,Marketing,1,Male,3,Laboratory Technician,Single,4548,6225,13988,97,1127,0,Yes,22,3,1,3,4,1,80,1,18,2,3,0,0,0,0,2024-10-09,2024-08-22,1062,Copenhagen,Hybrid,Not applicable
28,40,36-45,No,0,Travel_Rarely,Research & Development,26,2,Life Sciences,1,Female,3,Research Scientist,Married,5736,7073,4071,89,718,6,Yes,20,3,3,1,2,4,80,1,21,2,1,17,3,13,11,2007-11-08,2024-10-21,1006,Stockholm,No,Not applicable
29,52,46-55,No,0,Travel_Frequently,Research & Development,24,3,Human Resources,1,Male,5,Research Scientist,Married,9401,13127,23129,75,224,0,No,19,3,3,2,4,4,80,2,33,3,2,3,3,2,3,2021-09-27,2024-10-30,1059,Stockholm,Hybrid,Not applicable
30,35,26-35,No,0,Travel_Rarely,Research & Development,7,4,Medical,1,Male,2,Laboratory Technician,Single,4742,5613,10695,36,359,0,No,23,4,2,2,3,2,80,1,10,0,1,7,2,5,0,2017-04-09,2024-11-03,1009,Helsinki,Hybrid,Not applicable
31,25,18-25,No,0,Non-Travel,Research & Development,21,3,Medical,1,Female,2,Research Scientist,Married,4072,5177,21575,97,703,2,No,16,3,1,3,2,1,80,0,3,3,2,1,1,1,1,2023-02-27,2024-05-25,1013,Malmo,No,Not applicable
32,45,36-45,No,0,Travel_Rarely,Research & Development,24,2,Technical Degree,1,Male,3,Laboratory Technician,Married,4216,5543,23954,45,941,1,No,19,3,1,1,4,1,80,1,18,3,3,3,1,2,3,2021-01-27,2024-05-29,1093,Stockholm,Full Remote,Not applicable
33,29,26-35,No,0,Travel_Rarely,Research & Development,25,4,Medical,1,Female,2,Laboratory Technician,Married,3373,4094,22747,33,287,0,No,13,3,3,1,2,3,80,2,10,2,3,10,0,1,5,2014-09-16,2024-06-22,1054,Helsinki,No,Not applicable
34,33,26-35,No,0,Travel_Rarely,Research & Development,20,3,Medical,1,Female,2,Research Scientist,Married,6304,8345,2251,56,717,1,No,15,3,1,3,4,1,80,1,9,3,3,8,0,0,0,2016-10-25,2024-08-23,1038,Copenhagen,No,Not applicable
35,39,36-45,No,0,Travel_Rarely,Research & Development,12,4,Technical Degree,1,Male,4,Research Scientist,Single,8355,10035,5468,61,992,0,Yes,18,3,4,3,1,4,80,3,18,5,1,0,0,0,0,2024-04-08,2024-11-21,1051,Copenhagen,Hybrid,Not applicable
36,19,18-25,No,0,Travel_Frequently,Sales,12,2,Life Sciences,1,Male,1,Sales Representative,Divorced,1800,2260,16410,38,1060,4,Yes,20,3,1,2,4,4,80,1,0,3,4,0,0,0,0,2024-07-30,2024-08-13,1076,Copenhagen,Hybrid,Not applicable
37,58,56+,No,0,Non-Travel,Research & Development,18,3,Life Sciences,1,Male,5,Manager,Single,20000,28356,19172,96,1348,0,No,18,3,1,4,1,3,80,1,39,2,1,14,2,2,2,2010-06-29,2024-08-09,1050,Copenhagen,Hybrid,Not applicable
38,31,26-35,Yes,1,Travel_Frequently,Sales,20,3,Other,1,Female,3,Sales Executive,Married,8200,11471,5062,84,1141,3,Yes,21,3,1,3,4,3,80,1,11,3,2,4,0,4,4,2020-07-01,2024-07-26,1024,Copenhagen,Full Remote,Compensation
39,37,36-45,No,0,Travel_Rarely,Research & Development,2,2,Life Sciences,1,Male,3,Research Scientist,Married,5266,7235,17368,54,853,3,No,14,3,1,4,3,2,80,1,18,3,4,10,4,8,5,2014-03-18,2024-05-20,1060,Copenhagen,Hybrid,Not applicable
40,35,26-35,No,0,Travel_Frequently,Research & Development,4,2,Medical,1,Male,2,Research Scientist,Single,3880,5504,14285,58,157,1,Yes,17,3,1,2,4,3,80,0,14,2,1,0,0,0,0,2024-11-12,2024-02-03,1043,Oslo,No,Not applicable
41,20,18-25,No,0,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,1,Research Director,Married,14857,19061,22146,75,592,1,Yes,15,3,4,1,1,4,80,1,0,3,1,0,0,0,0,2024-09-28,2024-01-26,1086,Stockholm,Hybrid,Not applicable
42,47,46-55,No,0,Travel_Rarely,Research & Development,12,4,Medical,1,Female,3,Research Scientist,Divorced,6475,7953,8536,35,746,3,No,23,3,3,3,2,4,80,1,22,1,4,6,6,1,0,2018-04-15,2024-06-11,1070,Helsinki,No,Not applicable
43,36,36-45,No,0,Travel_Rarely,Research & Development,12,3,Life Sciences,1,Male,4,Manufacturing Director,Married,12735,15930,16611,84,441,3,No,16,3,3,1,4,1,80,1,17,3,4,2,2,0,1,2022-07-07,2024-05-17,1006,Malmo,Full Remote,Not applicable
44,41,36-45,No,0,Travel_Rarely,Research & Development,12,4,Medical,1,Male,2,Research Scientist,Single,6252,8522,20806,47,1184,0,Yes,18,3,1,2,3,3,80,3,0,1,4,0,0,0,0,2024-07-25,2024-02-03,1036,Oslo,Full Remote,Not applicable
45,34,26-35,Yes,1,Non-Travel,Sales,7,2,Technical Degree,1,Female,3,Sales Executive,Divorced,8329,11102,13845,95,559,0,No,13,3,4,1,3,3,80,1,15,2,1,4,0,4,4,2020-09-22,2024-10-21,1031,Stockholm,Hybrid,Manager relationship
46,18,18-25,No,0,Travel_Frequently,Research & Development,14,3,Medical,1,Male,1,Laboratory Technician,Single,3330,4496,13338,96,681,0,No,25,3,2,2,4,1,80,1,0,2,1,0,0,0,0,2024-08-26,2024-09-22,1082,Gothenburg,No,Not applicable
47,34,26-35,Yes,1,Travel_Frequently,Research & Development,11,1,Medical,1,Male,2,Laboratory Technician,Divorced,4071,5246,24564,37,423,3,Yes,15,3,4,1,4,3,80,1,11,3,3,4,0,4,2,2020-04-30,2024-05-08,1027,Gothenburg,No,Work-life balance
48,25,18-25,No,0,Travel_Rarely,Research & Development,4,3,Medical,1,Female,1,Healthcare Representative,Single,9066,11780,4950,80,1135,1,No,15,4,2,3,3,2,80,1,5,2,2,2,2,1,0,2022-09-01,2024-09-12,1075,Copenhagen,No,Not applicable
49,44,36-45,Yes,1,Travel_Rarely,Research & Development,13,3,Life Sciences,1,Male,5,Manager,Married,20000,26043,18386,35,192,9,Yes,16,3,3,1,2,1,80,0,24,3,4,1,0,1,0,2023-07-16,2024-05-03,1067,Oslo,Hybrid,Manager relationship
50,31,26-35,Yes,1,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Male,3,Research Scientist,Married,6085,8311,14458,48,1494,0,Yes,20,3,1,4,3,2,80,1,11,3,1,11,1,7,1,2013-03-17,2024-01-08,1015,Stockholm,Hybrid,Compensation
51,31,26-35,No,0,Travel_Rarely,Research & Development,17,2,Life Sciences,1,Female,2,Research Scientist,Married,5632,7688,25098,56,1101,0,No,15,3,3,4,2,2,80,1,10,5,3,5,5,4,3,2019-07-09,2024-03-20,1093,Copenhagen,No,Not applicable
52,18,18-25,No,0,Travel_Rarely,Research & Development,3,2,Medical,1,Male,1,Laboratory Technician,Single,2972,3992,6504,30,1227,1,No,12,3,2,2,1,2,80,0,0,3,2,0,0,0,0,2024-10-13,2024-06-06,1084,Helsinki,Hybrid,Not applicable
53,44,36-45,Yes,1,Non-Travel,Sales,2,4,Other,1,Female,4,Sales Representative,Divorced,3635,4746,6397,94,1058,0,Yes,15,3,2,3,1,1,80,1,21,6,3,7,2,5,2,2017-11-07,2024-07-15,1021,Helsinki,Hybrid,Retirement
54,40,36-45,No,0,Non-Travel,Research & Development,21,3,Life Sciences,1,Male,3,Manufacturing Director,Married,10339,13822,24700,60,227,0,Yes,20,3,2,1,3,4,80,1,21,2,2,2,2,2,0,2022-05-09,2024-07-27,1021,Helsinki,Hybrid,Not applicable
55,35,26-35,No,0,Travel_Rarely,Human Resources,8,3,Medical,1,Female,3,Human Resources,Single,6509,8518,7391,71,1165,1,No,19,3,2,2,1,4,80,0,8,1,3,8,3,1,8,2016-01-21,2024-09-17,1092,Gothenburg,Hybrid,Not applicable
56,33,26-35,No,0,Travel_Rarely,Research & Development,1,1,Life Sciences,1,Male,2,Research Director,Married,18408,24574,15774,77,883,3,No,22,3,1,1,4,1,80,0,12,3,3,2,2,1,2,2022-06-23,2024-06-22,1011,Malmo,Full Remote,Not applicable
57,48,46-55,No,0,Travel_Rarely,Research & Development,25,3,Marketing,1,Female,4,Research Director,Married,20000,27867,9886,56,237,1,No,25,3,2,3,2,1,80,1,29,3,1,27,0,7,11,1997-12-22,2024-05-17,1077,Malmo,Full Remote,Not applicable
58,46,46-55,No,0,Travel_Rarely,Sales,24,2,Technical Degree,1,Male,4,Sales Representative,Married,5470,7486,12444,83,936,0,No,17,3,3,1,2,4,80,0,24,3,4,7,0,1,7,2017-06-25,2024-09-28,1069,Oslo,Hybrid,Not applicable
59,43,36-45,No,0,Travel_Rarely,Research & Development,21,4,Life Sciences,1,Male,4,Manager,Married,18457,21847,8226,45,1080,5,No,25,3,1,1,2,2,80,0,21,2,4,18,0,0,0,2006-01-15,2024-02-26,1091,Oslo,Hybrid,Not applicable
60,33,26-35,No,0,Non-Travel,Sales,26,3,Medical,1,Male,2,Sales Representative,Divorced,4590,5966,23450,73,627,0,No,14,3,1,3,4,3,80,0,12,3,2,5,1,2,5,2019-04-28,2024-02-07,1095,Helsinki,Hybrid,Not applicable
61,34,26-35,No,0,Travel_Frequently,Research & Development,27,3,Technical Degree,1,Male,2,Manufacturing Director,Married,9267,12009,17986,32,113,2,No,25,3,2,1,2,4,80,0,12,4,3,1,1,1,1,2023-06-06,2024-12-25,1003,Gothenburg,Hybrid,Not applicable
62,34,26-35,No,0,Travel_Rarely,Research & Development,8,3,Life Sciences,1,Male,3,Laboratory Technician,Divorced,6448,8594,25030,51,269,1,Yes,11,3,2,2,3,1,80,0,11,3,1,3,0,2,3,2021-05-25,2024-02-05,1043,Gothenburg,Full Remote,Not applicable
63,52,46-55,No,0,Non-Travel,Human Resources,22,4,Life Sciences,1,Male,5,Human Resources,Married,6193,7800,26759,47,260,4,Yes,19,3,4,1,3,2,80,1,32,3,2,12,2,10,0,2012-07-11,2024-12-04,1013,Helsinki,No,Not applicable
64,27,26-35,No,0,Travel_Rarely,Sales,8,3,Life Sciences,1,Male,1,Sales Executive,Married,5268,6672,4998,30,731,2,No,16,3,1,1,3,2,80,1,5,3,4,5,3,2,4,2019-08-18,2024-11-09,1017,Stockholm,No,Not applicable
65,28,26-35,No,0,Travel_Rarely,Research & Development,10,5,Life Sciences,1,Male,2,Research Scientist,Married,4654,5895,10080,93,1316,0,No,17,3,2,2,3,3,80,1,9,2,3,6,2,1,1,2018-05-14,2024-11-07,1018,Copenhagen,No,Not applicable
66,51,46-55,No,0,Non-Travel,Research & Development,21,2,Life Sciences,1,Female,5,Research Scientist,Married,6727,8818,24338,100,155,3,No,25,4,3,4,2,3,80,0,25,2,4,2,1,2,1,2022-05-11,2024-01-04,1027,Helsinki,Hybrid,Not applicable
67,32,26-35,No,0,Travel_Rarely,Research & Development,9,5,Medical,1,Male,3,Healthcare Representative,Divorced,7708,10288,23192,81,779,2,Yes,21,3,4,1,3,1,80,1,13,2,1,10,3,1,0,2014-05-29,2024-11-07,1002,Stockholm,No,Not applicable
68,29,26-35,Yes,1,Travel_Rarely,Research & Development,19,2,Technical Degree,1,Female,2,Research Scientist,Divorced,3673,4615,11839,35,335,1,No,12,3,2,3,3,3,80,1,8,2,4,4,1,4,1,2020-07-11,2024-02-04,1014,Oslo,Full Remote,Retirement
69,42,36-45,No,0,Travel_Rarely,Research & Development,21,3,Life Sciences,1,Male,4,Manufacturing Director,Married,11124,15429,19292,70,1322,1,Yes,14,3,2,2,3,1,80,1,21,2,1,4,1,4,1,2020-06-16,2024-03-06,1015,Copenhagen,Hybrid,Not applicable
70,38,36-45,No,0,Travel_Rarely,Research & Development,11,3,Medical,1,Female,3,Research Scientist,Single,4580,6450,17879,47,499,0,No,18,3,4,2,4,2,80,1,19,2,2,6,6,4,2,2018-03-22,2024-04-17,1084,Helsinki,Hybrid,Not applicable
71,24,18-25,No,0,Travel_Rarely,Research & Development,10,3,Life Sciences,1,Male,1,Research Scientist,Married,3516,4887,3056,87,638,3,No,15,3,3,1,4,2,80,0,1,3,4,0,0,0,0,2024-11-18,2024-05-21,1016,Oslo,No,Not applicable
72,30,26-35,No,0,Travel_Rarely,Research & Development,19,3,Life Sciences,1,Female,2,Manufacturing Director,Married,6756,8209,12554,61,1484,0,No,14,4,1,2,4,1,80,2,8,4,3,3,3,3,3,2021-10-22,2024-03-11,1081,Copenhagen,Hybrid,Not applicable
73,51,46-55,No,0,Travel_Rarely,Research & Development,16,4,Medical,1,Female,4,Research Scientist,Married,8032,9729,17903,73,1497,3,No,20,4,4,2,4,2,80,0,27,2,4,2,2,2,2,2022-12-10,2024-11-11,1081,Helsinki,No,Not applicable
74,42,36-45,No,0,Non-Travel,Human Resources,28,3,Technical Degree,1,Female,1,Human Resources,Married,5117,6675,16583,31,116,1,Yes,14,3,3,2,4,1,80,0,4,1,1,3,3,1,3,2021-11-02,2024-05-29,1089,Oslo,Hybrid,Not applicable
75,50,46-55,No,0,Non-Travel,Sales,21,3,Medical,1,Female,4,Sales Representative,Married,6206,7895,16070,70,386,0,Yes,22,3,2,4,4,2,80,2,31,1,1,2,1,2,2,2022-02-06,2024-11-18,1032,Gothenburg,Hybrid,Not applicable
76,39,36-45,No,0,Travel_Rarely,Research & Development,10,3,Life Sciences,1,Male,2,Laboratory Technician,Divorced,2735,3340,17434,39,134,1,Yes,21,3,1,3,3,2,80,2,13,2,4,5,2,5,2,2019-12-27,2024-08-19,1028,Stockholm,Full Remote,Not applicable
77,31,26-35,No,0,Travel_Rarely,Human Resources,5,4,Medical,1,Female,3,Human Resources,Married,6444,8545,12134,52,344,5,Yes,20,3,1,3,4,2,80,0,8,1,1,8,1,3,3,2016-10-25,2024-01-07,1002,Helsinki,Full Remote,Not applicable
78,39,36-45,Yes,1,Travel_Rarely,Research & Development,1,4,Medical,1,Male,4,Laboratory Technician,Married,4256,5760,9484,95,105,3,Yes,21,3,3,1,4,2,80,0,20,4,3,0,0,0,0,2024-12-26,2024-08-28,1006,Copenhagen,Hybrid,Manager relationship
79,53,46-55,No,0,Travel_Rarely,Sales,24,3,Life Sciences,1,Male,4,Sales Executive,Married,9381,11087,8575,67,1254,0,Yes,18,3,1,4,1,4,80,1,31,1,3,13,1,2,1,2011-02-21,2024-08-29,1060,Copenhagen,Hybrid,Not applicable
80,37,36-45,No,0,Travel_Rarely,Research & Development,12,4,Life Sciences,1,Male,2,Research Scientist,Single,5887,8212,17022,40,1289,0,No,25,3,2,4,4,1,80,1,9,4,2,4,0,1,1,2020-10-26,2024-02-09,1051,Gothenburg,Hybrid,Not applicable
81,29,26-35,No,0,Travel_Rarely,Research & Development,24,2,Marketing,1,Male,1,Research Scientist,Single,3990,4823,7164,68,1335,0,No,18,3,2,4,4,3,80,0,0,3,4,0,0,0,0,2024-07-18,2024-10-17,1012,Oslo,Full Remote,Not applicable
82,43,36-45,No,0,Travel_Frequently,Research & Development,18,2,Life Sciences,1,Female,4,Research Scientist,Married,7313,10116,12864,45,187,0,No,18,3,4,3,1,3,80,0,24,4,1,1,0,1,1,2023-12-08,2024-10-06,1074,Helsinki,Hybrid,Not applicable
83,33,26-35,No,0,Travel_Rarely,Research & Development,20,3,Life Sciences,1,Male,3,Research Scientist,Married,6882,8950,14726,64,468,3,No,20,3,2,2,1,4,80,1,14,2,3,8,0,0,6,2016-03-04,2024-09-10,1004,Stockholm,Hybrid,Not applicable
84,29,26-35,Yes,1,Travel_Rarely,Research & Development,24,4,Life Sciences,1,Male,2,Research Scientist,Single,6597,8062,3243,41,215,0,No,25,3,3,3,1,3,80,1,9,6,2,9,0,6,2,2015-09-14,2024-12-21,1068,Stockholm,No,Manager relationship
85,34,26-35,No,0,Travel_Frequently,Research & Development,5,3,Human Resources,1,Male,3,Laboratory Technician,Divorced,3088,4124,7708,75,557,1,No,18,3,3,3,3,2,80,1,9,3,2,9,0,4,0,2015-10-07,2024-06-21,1040,Malmo,Hybrid,Not applicable
86,34,26-35,No,0,Non-Travel,Sales,26,2,Marketing,1,Female,1,Sales Executive,Married,3541,4396,5540,30,198,0,No,16,3,3,2,1,3,80,0,4,3,4,2,2,2,0,2022-06-02,2024-10-07,1053,Helsinki,Full Remote,Not applicable
87,25,18-25,No,0,Travel_Rarely,Research & Development,2,2,Life Sciences,1,Female,1,Research Scientist,Divorced,5758,6868,12849,56,489,0,Yes,13,3,1,3,4,1,80,3,0,4,4,0,0,0,0,2024-03-24,2024-03-30,1034,Malmo,No,Not applicable
88,48,46-55,No,0,Travel_Rarely,Sales,20,4,Medical,1,Female,3,Sales Representative,Single,4903,6220,16607,35,639,1,No,17,3,4,4,4,3,80,1,22,2,1,0,0,0,0,2024-08-20,2024-09-07,1035,Gothenburg,No,Not applicable
89,35,26-35,No,0,Travel_Rarely,Research & Development,27,3,Life Sciences,1,Male,2,Manufacturing Director,Married,8379,10140,15873,40,1499,0,No,14,3,1,2,1,4,80,3,15,2,2,4,2,4,2,2020-02-16,2024-10-17,1077,Copenhagen,No,Not applicable
90,38,36-45,No,0,Travel_Rarely,Research & Development,23,2,Medical,1,Male,3,Manufacturing Director,Married,9928,12125,15204,48,1366,1,No,11,4,1,3,3,4,80,0,16,3,3,4,2,0,4,2020-01-13,2024-06-09,1005,Helsinki,Full Remote,Not applicable
91,38,36-45,No,0,Travel_Frequently,Research & Development,16,2,Marketing,1,Male,2,Research Scientist,Divorced,6616,8625,7209,38,737,1,Yes,19,3,4,1,2,4,80,2,9,2,2,9,5,1,1,2015-06-12,2024-10-23,1068,Gothenburg,No,Not applicable
92,24,18-25,Yes,1,Travel_Rarely,Sales,17,3,Medical,1,Male,2,Sales Representative,Married,4446,6078,9022,58,1425,1,Yes,20,3,3,3,2,3,80,0,0,2,1,0,0,0,0,2024-09-18,2024-08-16,1084,Gothenburg,No,Manager relationship
93,37,36-45,No,0,Travel_Frequently,Research & Development,10,4,Medical,1,Male,2,Manufacturing Director,Single,8637,11519,11072,63,1443,0,No,15,3,4,1,1,3,80,0,9,1,3,5,0,5,0,2019-02-04,2024-08-01,1025,Oslo,Hybrid,Not applicable
94,53,46-55,No,0,Travel_Rarely,Sales,10,3,Medical,1,Male,4,Sales Representative,Married,5904,7633,26278,63,1244,4,Yes,12,3,2,4,3,3,80,2,28,2,2,2,0,2,0,2022-10-01,2024-01-18,1043,Malmo,No,Not applicable
95,36,36-45,No,0,Travel_Rarely,Research & Development,28,2,Life Sciences,1,Male,3,Research Scientist,Married,5250,6375,25451,53,265,9,No,18,3,4,1,2,2,80,0,11,4,2,2,1,2,2,2022-02-13,2024-10-02,1041,Malmo,No,Not applicable
96,40,36-45,No,0,Travel_Rarely,Research & Development,14,2,Life Sciences,1,Male,3,Research Scientist,Married,8026,10440,12030,51,233,0,Yes,17,4,2,1,1,2,80,1,18,1,2,0,0,0,0,2024-08-02,2024-08-05,1059,Malmo,Hybrid,Not applicable
97,24,18-25,No,0,Travel_Rarely,Research & Development,26,4,Medical,1,Female,1,Laboratory Technician,Married,4278,5166,16559,78,353,2,Yes,22,3,1,4,3,1,80,1,5,0,1,5,4,5,0,2019-05-06,2024-01-07,1020,Oslo,Hybrid,Not applicable
98,32,26-35,No,0,Travel_Rarely,Research & Development,24,3,Marketing,1,Female,2,Laboratory Technician,Divorced,5928,6998,24008,41,326,2,No,14,3,4,3,2,1,80,2,9,2,4,1,0,0,1,2023-01-25,2024-04-23,1020,Stockholm,Hybrid,Not applicable
